id,date,work_performed,primary_source
743,1820-12-14,150,Th OC-91
744,1820-12-15,20,Th OC-91
745,1820-12-15,357,Th OC-91
746,1820-12-16,212,Th OC-91
747,1820-12-16,227,Th OC-91
748,1820-12-17,26,Th OC-91
749,1820-12-17,73,Th OC-91
750,1820-12-17,1,Th OC-91
751,1820-12-18,120,Th OC-91
752,1820-12-18,226,Th OC-91
753,1820-12-18,119,Th OC-91
754,1820-12-19,290,Th OC-91
755,1820-12-19,374,Th OC-91
756,1820-12-20,72,Th OC-91
757,1820-12-20,239,Th OC-91
758,1820-12-20,119,Th OC-91
759,1820-12-21,386,Th OC-91
760,1820-12-21,336,Th OC-91
761,1820-12-22,177,Th OC-91
762,1820-12-22,251,Th OC-91
763,1820-12-22,119,Th OC-91
764,1820-12-23,135,Th OC-91
765,1820-12-23,119,Th OC-91
766,1820-12-23,136,Th OC-91
767,1820-12-24,282,Th OC-91
768,1820-12-24,388,Th OC-91
769,1820-12-26,36,Th OC-91
770,1820-12-26,119,Th OC-91
771,1820-12-26,254,Th OC-91
772,1820-12-27,327,Th OC-91
773,1820-12-27,23,Th OC-91
