id,surname,given_names,wikidata_id
566,Strunz,Georg Jacob,
567,Ségur,Joseph Alexandre Pierre de,
568,Tacusset,,
569,Tarade,Théodore Jean,
570,Tarchi,Angelo,
571,Thomas,Charles Louis Ambroise,
572,Thys,Alphonse,
573,Thys,Pauline,
574,Théaulon de Lambert,Marie Emmanuel Guillaume,
575,Tissot,Charles Louis,
576,Traetta,Tommaso,
577,Trial,Armand Emmanuel (fils),
578,Trial,Jean-Claude,
579,Tully,Henri de,
580,Ussieux,Louis d',
581,Vachon,Pierre,
582,Vadé,Jean Joseph,
583,Valmalette,J. de,
584,Van Maldere,Pierre,
585,Van der Burch,Émile Louis,
586,Vandière,"Raoul Chapais, dit",
587,Varlet,Luce,
588,Varner,Antoine François,
589,Vaëz,"Jean Nicolas Gustave van Nieuwenhuysen, dit Gustave",
590,Vernoy de Saint-Georges,Jules Henri,
591,Vial,Jean-Baptiste Charles,
592,Vieillard,Pierre Ange,
593,Villain de Saint-Hillaire,Amable,
594,Villeblanche,Armand de,
595,Villeneuve,Théodore Ferdinand Vallou de,
596,Villiers,Mme,
597,Villiers,Pierre Antoine Jean-Baptiste,
598,Violet d'Épagny,Jean-Baptiste Rose Bonaventure,
599,Vogel,Charles Louis Adolphe,
600,Vogler,Georg Joseph,
601,Voirin,Charles,
602,Véronèse,Charles Antoine,
603,Wailly,Jules de,
604,Walter,Georg Antoine,
605,Watelet,Claude Henri,
606,Weber,Carl Maria von,
607,Weigl,Joseph,
608,Wölffl,Joseph,
609,Ymbert,Jacques Gilbert,
610,Zanuzzi,François Antoine,
611,Zimmermann,Pierre Joseph Guillaume,
612,divers compositeurs,,
613,vaudevilles,,
614,Ève,Antoine François,
615,Étienne,Charles Guillaume,
